name,height,level,feature,route_distance,prefecture
羅臼岳,1661,中級,"斜里郡斜里町と目梨郡羅臼町の境界に位置する羅臼岳（標高1,661m）は、北海道北東部に突き出た世界自然遺産・知床半島の最高峰。岩を積み上げたような山頂からはオホーツク海や根室海峡、知床半島の山々、北方領土の国後島も一望できる。夏には羅臼平周辺の草地でエゾキンバイソウ、エゾコザクラなどの高山植物がいっせいに咲き競う様が美しい。登山コースは羅臼コースと岩尾別コースがあるが、整備のされた岩尾別コースが歩きやすい。登山口には岩尾別温泉があるので、前日に岩尾別温泉の宿か木下小屋（素泊まり）に宿泊して翌早朝に出発するとよい。また、コース一帯はヒグマの生息地なので、ベアベルを鳴らすなどクマ除け対策は万全に。",12.7,北海道
雌阿寒岳(阿寒岳),1499,初級,"雌阿寒岳（標高1,499m）は、マリモで知られる阿寒湖の西にそびえる活火山。湖をはさんで向かい合う雄阿寒岳が「ピンネシリ」（男山）とも呼ばれるのに対し、「マチネシリ」（女山）とも呼ばれる。噴火活動が活発で、山頂部はダイナミックな火山景観が展開する。ただし登山禁止になることもあるので、入山前に確認を。一般的なコースは雌阿寒温泉から山頂を経て北海道三大秘湖のオンネトーへ向かうコースで、アカエゾマツの深い森からハイマツ帯を経て、メアカンキンバイやメアカンフスマなど、山の名を冠する花を愛でながら山頂をめざす。山頂からは噴気越しに青沼や阿寒富士、阿寒湖をはさみ雄阿寒岳などが眺められる。",5.5,北海道
十勝岳,2077,中級,"上川郡新得町と美瑛町、空知郡上富良野町に三町にまたがる十勝岳（標高2,077m）は、大雪山国立公園の西南部に位置する十勝連峰の主峰で、今なお噴煙を上げるコニーデ型の活火山。過去に何度も爆発し、噴火のたびに地形が変化し、登山道も変わっている。火山礫に覆われた山頂部は草木も生えない荒涼とした世界だが、360度の視界が開け、十勝連峰や表大雪の山々、富良野盆地越しに見える芦別岳など、北海道の地形が実感できる景観を楽しめる。また山頂へは四方から登山道が延びるが、北面の望岳台からが一般的（山頂へ約3時間半）。体力があれば、山頂から北東の美瑛岳（標高2052m）とセットで登る周回もいいだろう。",10.4,北海道
八甲田山<大岳>,1585,初級,"青森県青森市と十和田市などにまたがる八甲田山は、1902（明治35）年の「八甲田雪中行軍遭難事件」で知られる。ひとつの山ではなく、18の峰々で構成される一つの大きな山体の総称である。最高峰である八甲田大岳（標高1,585m）や高田大岳などを中心とする北八甲田連峰と、国道103号を挟んで南に対峙する櫛ヶ峰をはじめとする南八甲田連峰に分かれる。高層湿原に咲く花々から秋のブナや湿原の紅葉、冬の樹氷まで、四季を通じて楽しめる山だ。最高峰の八甲田大岳へは、八甲田ロープウェイを利用する最短コースと、酸ヶ湯温泉を起点とする毛無岱（「岱（たい）」は湿原のこと）経由と仙人岱経由の２つのコースが主な登山道。",7.5,"青森,東北"
月山,1984,初級,山形県の中央部にある出羽三山の一座であり、世界でも珍しい半円形のアスピーテ型火山（出羽三山神社のHPより。ただし、活火山ではない）といわれる。そのなだらかな姿から臥牛山（がぎゅうさん）などとも呼ばれ、豪雪地帯に位置することから夏スキーの名所としても有名だ。山頂には月山神社本宮と月山頂上小屋が立ち、北面の八合目にも有人小屋がある。月山神社は６世紀の創建と伝えられ、山岳信仰の古社として多くの修験者や参拝者を集めてきた。俳人・松尾芭蕉も夏の月山に登ったことが『奥の細道』に記され、山頂の南西面には句碑も置かれている。リフトが利用できるコースをはじめ登山コースはいくつかあるが、登山者の増加につれて高山植物の盗掘の報告も増えている。,10.2,"山形,東北"
会津駒ヶ岳,2133,中級,福島県檜枝岐村に位置する日本百名山。山頂から中門岳へと延びるなだらかな尾根上には広大な湿原が展開し、中門池をはじめ大小の地溏が点在する。雪解けとともにハクサンコザクラ、ワタスゲ、チングルマなどの高山植物が咲き競い、初秋からは黄金色の草紅葉が輝く。燧ヶ岳や至仏山などを眺め、花々に出会いながらの尾根歩きは、「山上の楽園」と呼ぶにふさわしい。山頂はクマザサや灌木に遮られて見晴らしはあまりよくないが、晴れた日には富士山が遠望できる。登山コースは数本あるが、東側の滝沢登山口からの利用者が大半。山頂の南直下には有人小屋の駒の小屋が建っている。檜枝岐村は温泉でも有名なので、下山後には立ち寄りたい。,12,"福島,東北"
那須岳,1917,中級,茶臼岳（ちゃうすだけ）は日本百名山に選定されている那須岳（なすだけ）の一座で、栃木県那須郡那須町に位置する標高1915mの山である。北側に連なる朝日岳（1896m）・三本槍岳（1916m）とあわせて那須三山と呼ばれ、さらに南月山（1776m）黒尾谷岳（1589m）を加えて、那須五岳とも呼ばれる。東麓には今なお噴煙を上げる噴気孔があり、山頂周辺も火口跡の凹部が残る、荒涼としたガレ場が広がっている。詳細は那須岳を参照。 ,4.9,"栃木,関東"
燧ヶ岳,2356,中級,尾瀬ヶ原・尾瀬沼の福島県側に立ち、尾瀬ヶ原西端の至仏山と対峙する。東北以北の山の最高峰で、最初の登頂者とされるのは尾瀬沼東岸に立つ長蔵小屋を造った平野長蔵。長蔵とその長男・長英、孫の長靖たちは何代にもわたって尾瀬の自然を守り続け、尾瀬の自然保護の象徴として知られている。長英の名を冠した長英新道はいまも、尾瀬沼側から山頂へのメインコースとして人気が高い。火山地形の山頂は、最高点の柴安嵓（しばやすぐら）、俎嵓（まないたぐら）、ミノブチ岳、赤ナグレ岳、御池岳（※地形図には掲載されていない）の５ピークで形成され、コースは北部の御池からのコースと長英新道がメイン。ただし、いずれも歩行時間は６～７時間となり、それなりの体力・経験が要求される。,8.5,"福島,東北,尾瀬"
至仏山,2228,中級,尾瀬ヶ原を東に向かって歩くと正面に見える独立峰が燧ヶ岳、振り返って目に飛び込んでくるなだらかな姿の山が至仏山だ。花の名山として知られ、夏にはホソバヒナウスユキソウやオゼソウ、ジョウシュウアズマギクなどの希少種を見ることができる。秋の紅葉期もすばらしい。山頂へは、尾瀬ヶ原の入口でもある鳩待峠から小至仏山を経て山頂を往復するのがメインコース。とはいえ、何度かの登り返しと蛇紋岩の滑りやすい道が続くのでけっこう疲れる。もし日程に余裕があれば、鳩待峠から尾瀬ヶ原にいったん下って山の鼻で１泊ののち、至仏山に直登する東面登山道を登るのがおすすめ。東面登山道は途中から登りの一方通行になるうえ、往復登山のやや味気なさも解消できる。,10.3,"群馬,関東,尾瀬"
谷川岳,1977,中級,群馬・新潟県境の谷川連峰の主峰。一ノ倉沢などの絶壁を従えるアルペン的な双耳峰が特徴的。ロープウェイを利用する天神尾根コースなら、天気が安定していれば初級者でも登頂できる。特に紅葉の景色は絶景で多くの登山者が訪れる。ただし森林限界が標高1500ｍ前後にあることでわかるように、気象条件はたいへん厳しく、午後からの急変が懸念されるので登山は早めに終わらせたい。山頂のトマの耳とオキの耳（最高点）は昔、二つ耳（耳二つ）とかわいい名で呼ばれていた。なお、険しい西黒尾根には初級者は立ち入らないほうがいい。よく耳にする“魔の山”の名は、一ノ倉沢などの岩壁でのクライミングの遭難が多かったことから付けられ、実際に遭難死数はギネス世界記録に登録されている。,6.5,"群馬,新潟,東北,関東"
